grid_id,lat,lon,geometry
M-0001,40.68404307470766,-74.02567080345577,"POLYGON ((-74.0242002152204606 40.6829169454453918, -74.0242002152204606 40.6851691976976468, -74.0271413916910461 40.6851691976976468, -74.0271413916910461 40.6829169454453918, -74.0242002152204606 40.6829169454453918))"
M-0002,40.68404307470766,-74.02272962698517,"POLYGON ((-74.0212590387498750 40.6829169454453918, -74.0212590387498750 40.6851691976976468, -74.0242002152204606 40.6851691976976468, -74.0242002152204606 40.6829169454453918, -74.0212590387498750 40.6829169454453918))"
M-0003,40.68404307470766,-74.01978845051458,"POLYGON ((-74.0183178622792894 40.6829169454453918, -74.0183178622792894 40.6851691976976468, -74.0212590387498750 40.6851691976976468, -74.0212590387498750 40.6829169454453918, -74.0183178622792894 40.6829169454453918))"
M-0004,40.68629532695983,-74.02567080345575,"POLYGON ((-74.0242002152204606 40.6851691976976468, -74.0242002152204606 40.6874214499499018, -74.0271413916910461 40.6874214499499018, -74.0271413916910461 40.6851691976976468, -74.0242002152204606 40.6851691976976468))"
M-0005,40.68629532695983,-74.02272962698517,"POLYGON ((-74.0212590387498750 40.6851691976976468, -74.0212590387498750 40.6874214499499018, -74.0242002152204606 40.6874214499499018, -74.0242002152204606 40.6851691976976468, -74.0212590387498750 40.6851691976976468))"
M-0006,40.68629532695983,-74.01978845051458,"POLYGON ((-74.0183178622792894 40.6851691976976468, -74.0183178622792894 40.6874214499499018, -74.0212590387498750 40.6874214499499018, -74.0212590387498750 40.6851691976976468, -74.0183178622792894 40.6851691976976468))"
M-0007,40.686295326959815,-74.016847274044,"POLYGON ((-74.0153766858087039 40.6851691976976468, -74.0153766858087039 40.6874214499499018, -74.0183178622792894 40.6874214499499018, -74.0183178622792894 40.6851691976976468, -74.0153766858087039 40.6851691976976468))"
M-0008,40.68629532695983,-74.01390609757341,"POLYGON ((-74.0124355093381183 40.6851691976976468, -74.0124355093381183 40.6874214499499018, -74.0153766858087039 40.6874214499499018, -74.0153766858087039 40.6851691976976468, -74.0124355093381183 40.6851691976976468))"
M-0009,40.68854757921199,-74.04625903874985,"POLYGON ((-74.0447884505145595 40.6874214499499018, -74.0447884505145595 40.6896737022021568, -74.0477296269851450 40.6896737022021568, -74.0477296269851450 40.6874214499499018, -74.0447884505145595 40.6874214499499018))"
M-0010,40.688547579212,-74.04331786227927,"POLYGON ((-74.0418472740439739 40.6874214499499018, -74.0418472740439739 40.6896737022021568, -74.0447884505145595 40.6896737022021568, -74.0447884505145595 40.6874214499499018, -74.0418472740439739 40.6874214499499018))"
